t_s,mode,contact_err_mm,true_yaw_world_deg,held_yaw_world_deg,true_yaw_base_deg,held_yaw_base_deg,true_yaw_nominal_deg,held_yaw_nominal_deg
0.020000000000000004,open,1.4394492631485636,-3.7026644631949223e-17,0.0,-3.7026644631949223e-17,0.0,-3.7026644631949223e-17,0.0
0.04000000000000002,open,1.3200700954146247,-6.778658597655384e-17,0.0,-6.778658597655384e-17,0.0,-6.778658597655384e-17,0.0
0.06000000000000004,open,1.2349796686612367,-7.504088233925496e-17,0.0,-7.504088233925496e-17,0.0,-7.504088233925496e-17,0.0
0.08000000000000006,open,1.1758949791453488,-7.693884937673735e-17,0.0,-7.693884937673735e-17,0.0,-7.693884937673735e-17,0.0
0.10000000000000007,open,1.13578965170524,-7.680719011873087e-17,0.0,-7.680719011873087e-17,0.0,-7.680719011873087e-17,0.0
0.12000000000000009,open,1.1091792703178518,-8.017057400414873e-17,0.0,-8.017057400414873e-17,0.0,-8.017057400414873e-17,0.0
0.1400000000000001,open,1.0919634446966848,-8.160937965985905e-17,0.0,-8.160937965985905e-17,0.0,-8.160937965985905e-17,0.0
0.16000000000000011,open,1.0811815233182251,-8.366434393617964e-17,0.0,-8.366434393617964e-17,0.0,-8.366434393617964e-17,0.0
0.18000000000000013,open,1.0747524428137094,-9.250410919933591e-17,0.0,-9.250410919933591e-17,0.0,-9.250410919933591e-17,0.0
0.20000000000000015,open,1.0712421329658757,-8.972656646690613e-17,0.0,-8.972656646690613e-17,0.0,-8.972656646690613e-17,0.0
0.22000000000000017,open,1.0696763951594612,-8.732057899304404e-17,0.0,-8.732057899304404e-17,0.0,-8.732057899304404e-17,0.0
0.24000000000000019,open,1.069400169020768,-8.264646317783373e-17,0.0,-8.264646317783373e-17,0.0,-8.264646317783373e-17,0.0
0.2600000000000002,open,1.0699762345239592,-7.363735069934416e-17,0.0,-7.363735069934416e-17,0.0,-7.363735069934416e-17,0.0
0.2800000000000002,open,1.0711143771887048,-7.012289843896097e-17,0.0,-7.012289843896097e-17,0.0,-7.012289843896097e-17,0.0
0.3000000000000002,open,1.072622787829672,-7.100344490104061e-17,0.0,-7.100344490104061e-17,0.0,-7.100344490104061e-17,0.0
0.32000000000000023,open,1.0743751007372733,-7.736289116218701e-17,0.0,-7.736289116218701e-17,0.0,-7.736289116218701e-17,0.0
0.34000000000000025,open,1.0762880971541344,-7.63808008878817e-17,0.0,-7.63808008878817e-17,0.0,-7.63808008878817e-17,0.0
