t_capture_s,n_markers_valid,pose_valid,pos_err_mm,rot_err_deg,true_yaw_deg,est_yaw_deg
0.0,4,True,0.06915509346933307,0.02968207747930331,-3.7026644631949223e-17,0.006465516429192234
0.004166666666666667,4,True,0.10535861353774757,0.01817745257464869,-3.7026644631949223e-17,-0.004418669710478914
0.008333333333333333,4,True,0.1402205606075474,0.056385599890468444,-3.7026644631949223e-17,-0.00038507161247017713
0.0125,4,True,0.11765008761271607,0.038192460866362715,-3.7026644631949223e-17,-0.02578716411637275
0.016666666666666666,4,True,0.1011706882100613,0.019756390825187712,-3.7026644631949223e-17,-7.664146077510706e-05
0.020833333333333332,4,True,0.14169939600259135,0.026663787402215314,-3.7026644631949223e-17,-0.018252362601220797
0.024999999999999998,4,True,0.10897436247421385,0.02179475260330299,-3.7026644631949223e-17,-0.015942167428386358
0.029166666666666664,4,True,0.05516549923266414,0.02522099177391375,-4.441875150725598e-17,-0.01694329887963966
0.03333333333333333,4,True,0.047812789139985545,0.030952142640151222,-5.641654206126483e-17,0.0022388568805235603
0.0375,4,True,0.13986006427672004,0.008246776741423247,-6.426430837389717e-17,-0.0031701734200057716
0.041666666666666664,4,True,0.1867301631401179,0.03819419480007256,-6.895659083676572e-17,0.01743624586341142
0.04583333333333333,4,True,0.07778292725109608,0.04607441578454669,-7.142386430082642e-17,-0.014730937714134407
0.049999999999999996,4,True,0.12054223031388608,0.05300537452008679,-7.197836275836671e-17,0.022075510621248358
0.05416666666666666,4,True,0.2247557250501915,0.060651477821439786,-7.371938904890258e-17,0.009049624055903078
0.05833333333333333,4,True,0.08692125739441167,0.019832222911211894,-7.504088233925496e-17,0.0057749029532263
0.06249999999999999,4,True,0.05748793451974259,0.026607911836965342,-7.693884937673735e-17,-0.0012337262056698749
0.06666666666666667,4,True,0.12128453340469711,0.03007106777590715,-7.693884937673735e-17,0.005465770553537785
0.07083333333333333,4,True,0.09558579515718783,0.05388227880193225,-7.693884937673735e-17,0.009020274050208919
0.075,4,True,0.10718988298666979,0.04687743227012595,-7.693884937673735e-17,0.009830335095867582
0.07916666666666666,4,True,0.1503532696940239,0.042585523690671506,-7.693884937673735e-17,-0.002376947472355693
0.08333333333333333,4,True,0.09149398998119035,0.0550266868993306,-7.693884937673735e-17,-0.0045756370835644536
0.0875,4,True,0.1315590631966975,0.0420915471620678,-7.693884937673735e-17,0.006282242182953981
0.09166666666666666,4,True,0.07043740624280444,0.040269733861369644,-7.693884937673735e-17,0.0010475622134273677
0.09583333333333333,4,True,0.08615629948967458,0.05067581317003268,-7.758839872932744e-17,0.010583096969298184
0.09999999999999999,4,True,0.09917573900323416,0.027699456250841924,-7.680719011873087e-17,0.008319507713009025
0.10416666666666666,4,True,0.0767758245403619,0.014972844576615338,-7.75929362749501e-17,-0.004428047994401778
0.10833333333333332,4,True,0.07749891729098086,0.017683870584534144,-7.791704812634008e-17,-0.00011922029393737306
0.11249999999999999,4,True,0.16952971595941768,0.025777045018789562,-7.979889875041314e-17,0.006448432262667213
0.11666666666666665,4,True,0.06732474160921102,0.029724653767666122,-8.017057400414873e-17,-0.0022875475879402052
0.12083333333333332,4,True,0.051197275147839574,0.05678157249018464,-8.017057400414873e-17,-0.014009473792994618
0.12499999999999999,4,True,0.13650817937453902,0.054013360236912895,-8.017057400414873e-17,-0.0027779813912175814
0.12916666666666665,4,True,0.1468060306908109,0.023506365423125036,-8.094486134139543e-17,-0.0022223867232876136
0.13333333333333333,4,True,0.12648133620204605,0.0643175607484844,-8.164654623691636e-17,0.0058760585831574424
0.1375,4,True,0.12112675864216216,0.014336744013483758,-8.160937965985905e-17,-0.0003948405730137008
0.1416666666666667,4,True,0.15704539345859542,0.028981165494645845,-8.160937965985905e-17,0.021029550592370584
0.14583333333333337,4,True,0.1270252052408175,0.036414914026394504,-8.160937965985905e-17,0.010514169231038848
0.15000000000000005,4,True,0.0617308298977624,0.05439609320904229,-8.160937965985905e-17,-0.0021982625245935265
0.15416666666666673,4,True,0.13588795259857472,0.023528864103805107,-8.229917969359982e-17,0.0027161772632343633
0.1583333333333334,4,True,0.18261217249195436,0.02184037892183776,-8.366434393617964e-17,-0.0005137697348606082
0.1625000000000001,4,True,0.17088561406991318,0.01378413330100951,-8.588977977113175e-17,-0.011445220656193918
0.16666666666666677,4,True,0.08605241226199885,0.020570076054230585,-8.814201558232253e-17,-0.0071856948776300705
0.17083333333333345,4,True,0.07056572430447929,0.028574556053918117,-9.152048237336376e-17,0.0018109847090328579
0.17500000000000013,4,True,0.09199376385805898,0.01795800236915974,-9.179250364226132e-17,0.0030365581447731028
0.1791666666666668,4,True,0.17962895661317024,0.013208018714863046,-9.250410919933591e-17,0.01210225669909412
0.1833333333333335,4,True,0.09152805373847428,0.053305215670016906,-9.301880236667246e-17,-0.0005216696023374022
0.18750000000000017,4,True,0.2184887849564988,0.03929221225107516,-9.133588825152362e-17,0.016420192143255834
0.19166666666666685,4,True,0.1914009949191933,0.032843733097086124,-8.972656646690613e-17,-0.001770419559416317
0.19583333333333353,4,True,0.1646514286174943,0.025911906386303016,-8.972656646690613e-17,0.00774637682551477
0.2000000000000002,4,True,0.10542462783338923,0.0341721487543032,-8.972656646690613e-17,0.0029138420694797946
0.20416666666666689,4,True,0.06734269027337908,0.010075170207089675,-8.972656646690613e-17,0.005297873536360543
0.20833333333333356,4,True,0.21904574836089383,0.04270920644260827,-8.972656646690613e-17,0.008394462357421004
0.21250000000000024,4,True,0.09595305596226869,0.06492904508221084,-8.972656646690613e-17,-0.008597593198452477
0.21666666666666692,4,True,0.08219215788045202,0.020157656926877522,-8.828860087864641e-17,0.014621291339309875
0.2208333333333336,4,True,0.15835279150052653,0.023498935089067023,-8.68932786600567e-17,-0.0047057965481491475
0.22500000000000028,4,True,0.1293043772589564,0.056586859896696436,-8.50875396994484e-17,-0.003578387104125924
0.22916666666666696,4,True,0.07930853477693035,0.051955762322793746,-8.264646317783373e-17,-0.010428970610937966
0.23333333333333364,4,True,0.179220511544326,0.035537199742982105,-8.264646317783373e-17,0.015195108317482792
0.23750000000000032,4,True,0.12293172117642867,0.029107785924607627,-8.264646317783373e-17,0.004391117832766031
0.241666666666667,4,True,0.12300012560972824,0.042647693151221515,-8.264646317783373e-17,0.022850242686231332
0.24583333333333368,4,True,0.20279550702041482,0.04913362588712601,-8.264646317783373e-17,-0.018801258724844692
0.25000000000000033,4,True,0.0848811489038314,0.03035665718693806,-8.264646317783373e-17,-0.006563330134729295
0.254166666666667,4,True,0.02878316127550802,0.040392106377813056,-7.842271383492156e-17,-0.014648609407706643
